公園名稱,編號,裡別,面積,類別,座落位置,使用分區,維護管理單位,所在轄區,X座標(TW97),y座標(TW97)
裕敬公園,1,裕聖裡,0.435,鄰里公園,裕孝路與裕孝一街,鄰里,東區區公所,東區,172447.220000,2542145.320000
裕聖公園,2,裕聖裡,0.85,鄰里公園,裕信三街與裕信路,鄰里,東區區公所,東區,172619.410000,2542390.500000
福松的緣,3,郡王裡,,好望角,開山路、府前路口,商業區.住宅區,文化局,中西區,168750.900000,2543333.720000
榕園,4,郡王裡,,好望角,開山路、大埔街口--延平郡王祠,保存區,文化局,中西區,168891.980000,2543086.880000
千禧公園,5,關聖裡,0.79,鄰里公園,裕農三街與裕和二街,鄰里,東區區公所,東區,172166.350000,2542915.760000
文聖公園,6,文聖裡,1.38,區域公園,裕忠路與裕文路,大型,公園管理一科,東區,172364.030000,2542576.420000
東成公園,7,虎尾裡,0.1574,鄰里公園,東成街150號,鄰里,東區區公所,東區,171707.510000,2542302.970000
富農公園,8,虎尾裡,0.2198,鄰里公園,富農街一段188巷,鄰里,東區區公所,東區,171594.240000,2542426.590000
關聖公園,9,關聖裡,0.92,鄰里公園,裕和五街與裕英街,鄰里,東區區公所,東區,172764.820000,2542974.250000
仁和公園,10,崇善裡,0.1,鄰里公園,仁和路70號,鄰里,東區區公所,東區,171049.680000,2541783.480000
和平公園,11,和平裡,0.95,鄰里公園,文化一街,鄰里,東區區公所,東區,171335.490000,2541966.480000
和平裡公兒E24,12,和平裡,0.8905,,,,東區區公所,東區,171221.900000,2542028.650000
虎尾寮公兒E43,13,關聖裡,0.123,鄰里公園,裕平路276號旁,,東區區公所,東區,172536.110000,2542821.600000
南聖公園,14,南聖裡,1.9,區域公園,裕和路、裕信路,大型,公園管理一科,東區,172623.360000,2543159.580000
富強公園,15,富強裡,0.19,鄰里公園,裕農路446巷,鄰里,東區區公所,東區,171226.570000,2542920.650000
富裕公園,16,富裕裡,0.16,鄰里公園,東門路二段301巷,鄰里,東區區公所,東區,170855.200000,2542707.320000
裕華公園,17,裕聖裡,0.46,鄰里公園,裕華一街及二街交叉口,鄰里,東區區公所,東區,172703.550000,2542144.000000
東和公園,18,大學裡,1.11,區域公園,小東路、林森路二段,大型,公園管理一科,東區,170608.620000,2544554.370000
成大公園,19,成大裡,0.174,鄰里公園,大學路與育樂街,鄰里,東區區公所,東區,169495.460000,2544098.820000
後甲公園,20,後甲裡,1.966,區域公園,裕永一街、裕永路路口,大型,公園管理一科,東區,171850.410000,2542394.470000
崇誨公園,21,崇誨裡,0.1033,鄰里公園,林森路二段192巷口,鄰里,東區區公所,東區,170459.550000,2543293.910000
莊敬公園,22,莊敬裡,0.19,鄰里公園,東興路,鄰里,東區區公所,東區,171062.430000,2544213.550000
衛國公園,23,衛國裡,0.1602,鄰里公園,林森路二段東門國宅旁,鄰里,東區區公所,東區,170572.480000,2543108.700000
環保與綠,24,,185,好望角,富農街--環保局,機關用地,環保局,東區,171567.820000,2542826.620000
健康藝術公園,25,,2074,好望角,林森路、東門路_衛生局,公園用地,衛生局,東區,170286.520000,2542894.930000
東之島,26,,400,好望角,東寧路、林森路口槽化島,公園道路用地,東區區公所,東區,170432.190000,2543509.340000
青年公園,27,圍下裡,1.25,區域公園,青年路、育樂街,大型,公園管理一科,東區,169492.660000,2543575.910000
州知事府公58,28,圍下裡,0.8886,鄰里公園,衛民街博愛國小後方,鄰里,東區區公所,東區,169407.590000,2543637.830000
藝文走廊,29,,405,好望角,大學路景觀道路 (勝利路大學路口西北角),學校.道路用地,公共工程處養護科(成功大學),東區,169837.440000,2544127.780000
都市資訊站,30,,465,好望角,大學路景觀道路 (前鋒路大學路口東北角),學校.道路用地,公共工程處養護科(成功大學),東區,169410.390000,2544160.740000
百老匯劇場,31,,145,好望角,大學路景觀道路  (前鋒路大學路口東南角),廣場用地,公共工程處養護科(台南大遠百成功店),東區,169410.230000,2544130.070000
後站休憩廣場,32,,110,好望角,大學路景觀道路(火車站後站北側廣場),鐵路用地,公共工程養護科(鐵路局台南火車站),東區,169381.890000,2544160.900000
後站光影再生廣場,33,,340,好望角,火車站地下道出入口及周邊廣場(火車後站南側廣場),鐵路用地,公共工程處(台南火車站),東區,169381.730000,2544130.220000
前站迎賓廣場,34,,720,好望角,火車站地下道出入口及周邊廣場(火車前站南側廣場),廣場用地,公共工程處(台南火車站),東區,169267.990000,2544161.510000
椰林水霧廣場,35,,520,好望角,火車站地下道出入口及周邊廣場(火車前站北側廣場),廣場用地,公共工程處(台南火車站),東區,169268.320000,2544223.080000
和平裡公兒E26,36,和平裡,0.31,,仁和路41巷與文化二街,,東區區公所,東區,171277.200000,2541720.710000
東區區政廣場,37,,,好望角,崇學路、崇善路口--東區區公所,機關用地,東區區公所,東區,170397.340000,2542309.840000
崇學公園,38,崇學裡,0.16,鄰里公園,崇學路與崇德路口,鄰里,東區區公所,東區,170168.360000,2542095.660000
崇德公園,39,崇德裡,0.42,鄰里公園,崇德七街47號,鄰里,東區區公所,東區,170793.010000,2541723.250000
崇善公園,40,崇善裡,0.5,鄰里公園,崇善四街,鄰里,東區區公所,東區,171049.200000,2541691.120000
榮譽之家,41,忠孝裡,400,好望角,崇明路-榮譽之家前槽化島,道路用地,忠孝裡辦公處(東區區公所),東區,169798.600000,2542189.990000
忠孝公園,42,忠孝裡,0.3584,鄰里公園,榮譽街(榮民之家旁),鄰里,東區區公所,東區,169995.970000,2541819.720000
大福公園,43,大福裡,0.178,鄰里公園,立德四路與立德七路,鄰里,東區區公所,東區,169568.800000,2541822.000000
東興公園,44,大學裡,2.39,區域公園,東和路、林森路二段,大型,公園管理一科,東區,170521.820000,2544308.650000
光明公園,45,小東裡,0.42,鄰里公園,光明街175巷,,東區區公所,東區,170948.210000,2544152.580000
芳鄰廣場,46,,56,好望角,小東路、林森路口--無障礙福利之家,公園用地,社會局(無障礙福利之家),東區,170511.580000,2544524.100000
林森三角公園,47,龍山裡,2.22,區域公園,林森路一段、長榮路一段路口,大型,公園管理一科,東區,169772.390000,2542620.810000
繽紛新世界,48,,2000,好望角,林森路府連東路口-公E7,公園用地,公園管理一科,東區,170029.210000,2542711.690000
街角綠園,49,,502.5,好望角,林森路府連東路口(東側)--東門派出所,機關用地,龍山裡辦公處(東區區公所),東區,170029.210000,2542711.580000
大智公園,50,大智裡,0.27,鄰里公園,長東街,鄰里,東區區公所,東區,171070.120000,2540245.270000
羊蹄甲區,51,,1079,好望角,文化中心西側羊蹄甲區,公園用地,台南文化中心,東區,170137.740000,2541695.930000
東23,52,,2410,好望角,崇明路與崇明十街口--文化中心北側庭園,公園用地,台南文化中心,東區,170166.890000,2541818.810000
